"originid","destinationid","duration","distance","snap_o_dist","snap_d_dist"
0,0,25.41617740172843,16426.031178269055,19.436222069206316,35.15977961944156
0,1,69.99988354541499,52773.81098833299,19.436222069206316,48.60789036590427
0,2,92.66092822543315,93433.8500441777,19.436222069206316,117.78761762100542
0,3,69.5811669547341,70658.18618609772,19.436222069206316,0.000013706738409904616
0,4,69.55982037829145,66082.1623931094,19.436222069206316,206.26048131650703
0,5,86.28902511538934,83631.11557585424,19.436222069206316,150.80798443932372
0,6,20.024104539645556,10905.466097121289,19.436222069206316,42.10625827637604
0,7,38.382835881324844,31686.256562057315,19.436222069206316,179.36325308529894
0,8,40.62378547578056,34329.720883634276,19.436222069206316,216.72412431853476
0,9,48.699995287351264,44747.3629814305,19.436222069206316,293.9389345442808
0,10,50.501394201028965,43524.93384080789,19.436222069206316,30.234681052353206
0,11,74.00129887856896,58238.007674087574,19.436222069206316,0.00002869337655289219
0,12,68.33712372098196,57757.07689708211,19.436222069206316,0
0,13,75.71069867448159,75284.78479932756,19.436222069206316,137.5487924275194
0,14,99.47035763797919,86188.66393783754,19.436222069206316,127.21612507618707
0,15,111.29097609486563,94968.33476186503,19.436222069206316,112.69587358837846
0,16,74.60792715142607,79914.39775757295,19.436222069206316,130.28982728092535
0,17,78.98458446477066,77218.35250726469,19.436222069206316,195.57588490424206
0,18,40.370880154341805,28333.16190294086,19.436222069206316,119.27876270373567
0,19,72.24177661293399,73817.3490330213,19.436222069206316,10.502440785216285
0,20,64.09653381043033,62984.20540877414,19.436222069206316,204.97993904115057
0,21,63.38166444200314,61916.177002056465,19.436222069206316,181.74003867547577
0,22,65.36819996285274,62415.29714346925,19.436222069206316,603.3839031271233
0,23,61.910239247610846,58693.42983117066,19.436222069206316,185.92809969697035
0,24,62.589250425892814,60767.382473631704,19.436222069206316,344.94678071907856
0,25,61.49794259017942,59946.276379577765,19.436222069206316,69.49569582967548
0,26,63.07225166294058,61379.97454458291,19.436222069206316,716.0377501451641
0,27,58.62932969305589,57190.77289160823,19.436222069206316,323.7292183215672
0,28,58.55715271245669,57501.52135964462,19.436222069206316,0.000000001862645149230957
0,29,59.14892572205391,58624.734263670296,19.436222069206316,338.26651334269803
0,30,66.49189642684001,63972.8430728857,19.436222069206316,264.9956093431703
0,31,59.78570427879904,59390.317054053994,19.436222069206316,160.19352633348032
0,32,48.538006600383,44360.626521917344,19.436222069206316,96.1896544677067
0,33,59.40429406595004,58648.525566765056,19.436222069206316,106.68896180463638
0,34,58.78970857724785,58478.6115127013,19.436222069206316,551.3616256140572
0,35,58.84921803713168,58795.30022577335,19.436222069206316,657.7461651326481
0,36,58.61597636332912,58033.234566579595,19.436222069206316,279.7172408755061
0,37,63.66283404789375,61305.23826380666,19.436222069206316,346.00968630994606
0,38,57.67155119708234,58039.287219371094,19.436222069206316,201.66679343610593
0,39,66.23265484312009,62246.32307070541,19.436222069206316,2.1815257747356545
0,40,63.32040311383295,61516.18010010183,19.436222069206316,728.1673320664453
1,0,23.289816994604397,16682.835664064907,1339.4230377874794,35.15977961944156
1,1,67.87352313829096,53030.61547412884,1339.4230377874794,48.60789036590427
1,2,90.53456781830914,93690.65452997354,1339.4230377874794,117.78761762100542
1,3,67.45480654761006,70914.99067189358,1339.4230377874794,0.000013706738409904616
1,4,67.43345997116741,66338.96687890525,1339.4230377874794,206.26048131650703
1,5,84.1626647082653,83887.92006165009,1339.4230377874794,150.80798443932372
1,6,17.897744132521524,11162.27058291714,1339.4230377874794,42.10625827637604
1,7,36.25647547420081,31943.061047853167,1339.4230377874794,179.36325308529894
1,8,38.497425068656526,34586.52536943013,1339.4230377874794,216.72412431853476
1,9,46.57363488022723,45004.167467226354,1339.4230377874794,293.9389345442808
1,10,48.37503379390493,43781.73832660374,1339.4230377874794,30.234681052353206
1,11,71.87493847144493,58494.812159883426,1339.4230377874794,0.00002869337655289219
1,12,66.21076331385792,58013.88138287796,1339.4230377874794,0
1,13,73.58433826735758,75541.58928512341,1339.4230377874794,137.5487924275194
1,14,97.34399723085514,86445.46842363337,1339.4230377874794,127.21612507618707
1,15,109.16461568774162,95225.13924766087,1339.4230377874794,112.69587358837846
1,16,72.48156674430203,80171.2022433688,1339.4230377874794,130.28982728092535
1,17,76.85822405764662,77475.15699306055,1339.4230377874794,195.57588490424206
1,18,38.24451974721777,28589.966388736713,1339.4230377874794,119.27876270373567
1,19,70.11541620580995,74074.15351881715,1339.4230377874794,10.502440785216285
1,20,61.97017340330629,63241.009894569994,1339.4230377874794,204.97993904115057
1,21,61.25530403487911,62172.98148785232,1339.4230377874794,181.74003867547577
1,22,63.24183955572872,62672.101629265104,1339.4230377874794,603.3839031271233
1,23,59.78387884048682,58950.23431696652,1339.4230377874794,185.92809969697035
1,24,60.46289001876878,61024.186959427556,1339.4230377874794,344.94678071907856
1,25,59.37158218305539,60203.08086537362,1339.4230377874794,69.49569582967548
1,26,60.94589125581655,61636.77903037876,1339.4230377874794,716.0377501451641
1,27,56.502969285931854,57447.57737740408,1339.4230377874794,323.7292183215672
1,28,56.43079230533266,57758.32584544047,1339.4230377874794,0.000000001862645149230957
1,29,57.02256531492988,58881.53874946615,1339.4230377874794,338.26651334269803
1,30,64.36553601971599,64229.64755868156,1339.4230377874794,264.9956093431703
1,31,57.659343871675006,59647.121539849846,1339.4230377874794,160.19352633348032
1,32,46.41164619325897,44617.431007713196,1339.4230377874794,96.1896544677067
1,33,57.27793365882601,58905.33005256091,1339.4230377874794,106.68896180463638
